Nama,Email,Handphone,Gender,Age,Year Birth,Address,Location,Location Type,Device Model,Operating System,Wifi Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Login Hour,Digital Interest,generation,Brand,Activity,Email Provider,Phone Provider,Higher Education
Emas Pradipta,emaspradipta16@gmail.com,81714384850,Female,39,1985,"Gg. Rajawali Barat No. 89, Depok, 31662",Bukan Ruang,Cafe,Google Pixel 5,Android,503,10.4,2571,84,2025,21,other,Millennials,Google,Malam,gmail.com,XL,Tidak
"R.A. Queen Prakasa, S.Gz",r.a.queenprakasas.gz17@gmail.com,83348179881,Female,47,1977,"Gang Gegerkalong Hilir No. 766, Jakarta Timur, 54347",Kopikalyan Wijaya,Cafe,OnePlus 9,Android,132,3.6,628,32,344,16,streaming video,Gen X,OnePlus,Sore,gmail.com,AXIS,Ya
Raharja Yuliarti,raharjayuliarti18@gmail.com,83247648425,Female,44,1980,"Gg. Joyoboyo No. 7, Tangerang, 18378",Sambal Setan,Restaurant,iPhone 12,iOS,299,5.8,1431,41,985,4,news,Gen X,iPhone,Dini Hari,gmail.com,AXIS,Tidak
Tgk. Indah Mandala,tgk.indahmandala19@yahoo.com,89979532873,Female,26,1998,"Gg. Yos Sudarso No. 509, Tangerang Selatan, 09564",Sambalado,Restaurant,Google Pixel 5,Android,81,1.4,558,16,297,1,sosmed,Gen Z,Google,Dini Hari,yahoo.com,Tri,Ya
"Septi Sitorus, M.Ak",septisitorusm.ak20@aol.com,88883290419,Female,29,1995,"Jl. Suniaraja No. 058, Tangerang Selatan, 84270",Ramen Ya! Gandaria City,Restaurant,iPhone 12,iOS,577,8.5,2774,89,2192,10,other,Millennials,iPhone,Pagi,aol.com,Smartfren,Ya
"Melinda Mangunsong, S.T.",melindamangunsongs.t.21@outlook.com,85918130175,Female,45,1979,"Jl. Gardujati No. 24, Jakarta Timur, 51838",Liberica Cilandak Town Square,Cafe,Samsung Galaxy S21,Android,93,2.6,681,37,302,9,streaming video,Gen X,Samsung,Pagi,outlook.com,XL,Ya
dr. Candrakanta Marbun,dr.candrakantamarbun22@protonmail.com,88989048828,Female,43,1981,"Jalan Tebet Barat Dalam No. 222, Bogor, 08625",Koridor 01 Halte Harmoni,Transportation,OnePlus 9,Android,576,11.6,2803,82,1553,20,other,Millennials,OnePlus,Malam,protonmail.com,Smartfren,Ya
Tiara Lazuardi,tiaralazuardi23@outlook.com,88727188660,Female,23,2001,"Gg. Cikapayang No. 63, Tangerang, 21278",Sambal Setan,Restaurant,Samsung Galaxy S21,Android,423,6.5,2094,65,1372,19,e-commerce,Gen Z,Samsung,Malam,outlook.com,Smartfren,Tidak
"Dian Prastuti, S.Farm",dianprastutis.farm24@yahoo.com,88600900354,Female,37,1987,"Gg. Dipenogoro No. 979, Jakarta Timur, 22754",Stasiun Haji Nawi,Transportation,Google Pixel 5,Android,292,5.6,1401,46,949,13,news,Millennials,Google,Siang,yahoo.com,Smartfren,Ya
Genta Latupono,gentalatupono25@yahoo.com,81562461597,Male,58,1966,"Gg. Asia Afrika No. 22, Jakarta Selatan, 48441",JEC Kedoya,Compound Space,OnePlus 9,Android,216,4.0,1711,59,748,19,news,Gen X,OnePlus,Malam,yahoo.com,Indosat IM3,Tidak
Cut Padma Nababan,cutpadmanababan26@gmail.com,81479558673,Male,52,1972,"Jalan Cihampelas No. 29, Depok, 55064",Satoru,Restaurant,Samsung Galaxy S21,Android,91,3.4,1073,38,451,3,streaming video,Gen X,Samsung,Dini Hari,gmail.com,Indosat IM3,Tidak
Ellis Natsir,ellisnatsir27@outlook.com,81489649243,Male,29,1995,"Jl. Peta No. 6, Jakarta Selatan, 83286",Sliced Terogong,Restaurant,iPhone 12,iOS,444,7.6,2372,77,1002,19,e-commerce,Millennials,iPhone,Malam,outlook.com,Indosat IM3,Tidak
"Puti Calista Sihombing, S.Ked",puticalistasihombings.ked28@aol.com,85723707269,Male,33,1991,"Jl. H.J Maemunah No. 29, Tangerang Selatan, 60903",Menara FIF - Kantin 2,Compound Space,Google Pixel 5,Android,512,10.5,2409,89,1599,4,other,Millennials,Google,Dini Hari,aol.com,Indosat IM3,Ya
"Ir. Raditya Sihotang, S.Sos",ir.radityasihotangs.sos29@gmail.com,85356355523,Female,55,1969,"Gg. Cikutra Barat No. 29, Bogor, 20086",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,OnePlus 9,Android,452,6.8,2387,77,1456,23,e-commerce,Gen X,OnePlus,Malam,gmail.com,Telkomsel,Ya
Paris Habibi,parishabibi30@mail.com,81598289066,Female,19,2005,"Jl. Kutai No. 562, Jakarta Barat, 91582",JEC Kedoya,Compound Space,Samsung Galaxy S21,Android,412,6.2,1899,78,1384,24,e-commerce,Gen Z,Samsung,Dini Hari,mail.com,Indosat IM3,Tidak
"Hj. Eli Lazuardi, M.M.",hj.elilazuardim.m.31@gmail.com,88524994926,Female,37,1987,"Jalan Dipenogoro No. 93, Bekasi, 27324",Kedai Inn Taman GBK,Cafe,Xiaomi Mi 11,Android,260,6.0,1361,44,889,19,news,Millennials,Xiaomi,Malam,gmail.com,Smartfren,Ya
Tgk. Adinata Hidayanto,tgk.adinatahidayanto32@outlook.com,88106811024,Male,25,1999,"Jl. Moch. Toha No. 3, Jakarta Barat, 68813",Conclave Arteri,Office,Xiaomi Mi 11,Android,197,4.6,1660,59,975,17,news,Gen Z,Xiaomi,Sore,outlook.com,Smartfren,Ya
Puti Cornelia Sitorus,puticorneliasitorus33@gmail.com,81726143387,Male,21,2003,"Gang Yos Sudarso No. 100, Depok, 05304",Menara FIF - Kantin 2,Compound Space,Google Pixel 5,Android,278,4.7,1484,55,917,4,news,Gen Z,Google,Dini Hari,gmail.com,XL,Tidak
Syahrini Hutasoit,syahrinihutasoit34@gmail.com,89500410467,Male,58,1966,"Gang Antapani Lama No. 8, Bogor, 35125",Sambal Setan,Restaurant,Google Pixel 5,Android,46,2.0,457,14,105,9,sosmed,Gen X,Google,Pagi,gmail.com,Tri,Tidak
"Purwadi Sihombing, S.Gz",purwadisihombings.gz35@yahoo.com,88678119303,Female,38,1986,"Gg. Ahmad Dahlan No. 37, Tangerang, 05329",Kopikalyan Wijaya,Cafe,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,12,other,Millennials,Xiaomi,Siang,yahoo.com,Smartfren,Ya
"Dt. Dagel Prasetya, M.TI.",dt.dagelprasetyam.ti.36@outlook.com,88177632142,Female,20,2004,"Jalan Setiabudhi No. 63, Jakarta Pusat, 10023",Sambalado,Restaurant,Samsung Galaxy S21,Android,32,1.2,580,19,153,17,sosmed,Gen Z,Samsung,Sore,outlook.com,Smartfren,Ya
H. Adinata Manullang,h.adinatamanullang37@yahoo.com,81780820656,Male,26,1998,"Gang Ciumbuleuit No. 0, Jakarta Utara, 16157",Galeri Lafayette,Compound Space,iPhone 12,iOS,122,3.3,755,30,573,1,streaming video,Gen Z,iPhone,Dini Hari,yahoo.com,XL,Ya
Wahyu Widiastuti,wahyuwidiastuti38@gmail.com,88775308250,Male,24,2000,"Gang Raya Ujungberung No. 5, Bekasi, 48310",Warung Tekko Kramat Jati,Restaurant,Samsung Galaxy S21,Android,522,11.2,2808,93,2328,8,other,Gen Z,Samsung,Pagi,gmail.com,Smartfren,Tidak
"Paramita Mansur, S.Pd",paramitamansurs.pd39@gmail.com,81366262323,Male,40,1984,"Gang Wonoayu No. 449, Jakarta Pusat, 37780",Mall Taman Palem,Compound Space,OnePlus 9,Android,473,6.4,2312,74,1400,20,e-commerce,Millennials,OnePlus,Malam,gmail.com,Telkomsel,Ya
"R. Lili Saefullah, S.IP",r.lilisaefullahs.ip40@gmail.com,81119132541,Male,23,2001,"Gg. Gedebage Selatan No. 0, Tangerang, 77658",Stay Kopi Kopia,Cafe,Samsung Galaxy S21,Android,398,6.2,1851,77,1180,0,e-commerce,Gen Z,Samsung,Dini Hari,gmail.com,Telkomsel,Ya
Cinthia Pratama,cinthiapratama41@gmail.com,81984422588,Female,56,1968,"Gg. Suniaraja No. 194, Jakarta Timur, 75910",Menara FIF - Kantin 2,Compound Space,Xiaomi Mi 11,Android,240,4.7,1464,52,708,17,news,Gen X,Xiaomi,Sore,gmail.com,XL,Tidak
Dalimin Prasetyo,daliminprasetyo42@outlook.com,85355947831,Male,33,1991,"Jl. Tubagus Ismail No. 699, Bogor, 01533",Koridor 01 Halte Taman Sari,Transportation,OnePlus 9,Android,576,10.1,2447,83,2323,15,other,Millennials,OnePlus,Sore,outlook.com,Telkomsel,Tidak
Gada Mahendra,gadamahendra43@gmail.com,85816315369,Male,43,1981,"Gg. Peta No. 242, Bekasi, 14266",Warung Fotkop,Cafe,Samsung Galaxy S21,Android,120,2.1,720,39,392,4,streaming video,Millennials,Samsung,Dini Hari,gmail.com,Indosat IM3,Tidak
dr. Timbul Mandala,dr.timbulmandala44@gmail.com,88391664309,Male,18,2006,"Gg. Ahmad Dahlan No. 42, Jakarta Barat, 10914",SMK AL Khairiyah 2,Education Center,Samsung Galaxy S21,Android,152,3.7,993,32,429,20,streaming video,Gen Z,Samsung,Malam,gmail.com,Smartfren,Ya
"Bakda Hassanah, M.Kom.",bakdahassanahm.kom.45@yahoo.com,89682103836,Female,56,1968,"Jalan PHH. Mustofa No. 7, Depok, 84748",Pard Coffee,Cafe,Xiaomi Mi 11,Android,138,2.4,837,21,572,11,streaming video,Gen X,Xiaomi,Siang,yahoo.com,Tri,Ya
Cemani Nainggolan,cemaninainggolan46@outlook.com,83267958593,Male,39,1985,"Gg. Peta No. 358, Bekasi, 83959",Stasiun Senayan,Transportation,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,16,other,Millennials,Xiaomi,Sore,outlook.com,AXIS,Tidak
"Hj. Ira Waskita, S.IP",hj.irawaskitas.ip47@protonmail.com,83250217601,Female,22,2002,"Gg. Ir. H. Djuanda No. 0, Jakarta Timur, 69106",Warung Tekko Pluit Village,Restaurant,OnePlus 9,Android,558,8.4,2447,97,1594,15,other,Gen Z,OnePlus,Sore,protonmail.com,AXIS,Ya
"Tgk. Farhunnisa Utama, M.Ak",tgk.farhunnisautamam.ak48@gmail.com,81718347793,Female,27,1997,"Gang Dr. Djunjunan No. 031, Tangerang Selatan, 43124",Koridor 13 Halte Pasar Santa,Transportation,Samsung Galaxy S21,Android,138,3.6,889,25,323,0,streaming video,Gen Z,Samsung,Dini Hari,gmail.com,XL,Ya
Dinda Wastuti,dindawastuti49@aol.com,82240044428,Male,49,1975,"Jl. Dipatiukur No. 1, Depok, 03465",Ali Kopi Roastery Free Wifi,Cafe,Google Pixel 5,Android,580,8.2,2623,90,2262,18,other,Gen X,Google,Sore,aol.com,Telkomsel,Tidak
"Cinthia Ardianto, S.T.",cinthiaardiantos.t.50@gmail.com,81493925412,Male,49,1975,"Gang Ronggowarsito No. 9, Jakarta Pusat, 35205",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,OnePlus 9,Android,589,8.7,2736,82,1997,17,other,Gen X,OnePlus,Sore,gmail.com,Indosat IM3,Ya
Tomi Wibisono,tomiwibisono51@aol.com,82109049018,Female,54,1970,"Gg. Waringin No. 958, Bogor, 88400",Sliced Terogong,Restaurant,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,16,e-commerce,Gen X,Xiaomi,Sore,aol.com,Telkomsel,Tidak
Unjani Suryono,unjanisuryono52@yahoo.com,81512588539,Male,29,1995,"Jl. Bangka Raya No. 185, Jakarta Selatan, 52851",Los Medellin,Cafe,Xiaomi Mi 11,Android,245,5.9,1243,52,885,13,news,Millennials,Xiaomi,Siang,yahoo.com,Indosat IM3,Tidak
Zalindra Hariyah,zalindrahariyah53@gmail.com,88682039493,Female,27,1997,"Gg. W.R. Supratman No. 202, Jakarta Timur, 76688",Warung Fotkop,Cafe,Samsung Galaxy S21,Android,125,2.7,690,28,393,19,streaming video,Gen Z,Samsung,Malam,gmail.com,Smartfren,Tidak
"R. Bagas Permata, M.Kom.",r.bagaspermatam.kom.54@aol.com,85145899998,Male,53,1971,"Gang Pasirkoja No. 352, Jakarta Selatan, 41056",Menara Satu,Office,Xiaomi Mi 11,Android,97,2.2,1101,38,375,20,streaming video,Gen X,Xiaomi,Malam,aol.com,Telkomsel,Ya
Yoga Anggriawan,yogaanggriawan55@aol.com,85186994501,Female,53,1971,"Jl. Rungkut Industri No. 4, Depok, 62224",Warung Tekko Artha Gading,Restaurant,Google Pixel 5,Android,516,8.7,2857,83,2189,21,other,Gen X,Google,Malam,aol.com,Telkomsel,Tidak
"Uchita Nuraini, S.Pt",uchitanurainis.pt56@mail.com,89824474505,Male,30,1994,"Jalan Pacuan Kuda No. 88, Tangerang Selatan, 44661",Dua Coffee @ Cipete,Cafe,iPhone 12,iOS,68,1.6,450,14,111,2,sosmed,Millennials,iPhone,Dini Hari,mail.com,Tri,Ya
"Dr. Luthfi Siregar, S.Ked",dr.luthfisiregars.ked57@gmail.com,81553217620,Female,42,1982,"Gg. Moch. Ramdan No. 17, Jakarta Selatan, 38027",Dua Coffee @ Cipete,Cafe,OnePlus 9,Android,64,1.1,572,10,161,17,sosmed,Millennials,OnePlus,Sore,gmail.com,Indosat IM3,Ya
Estiawan Sihombing,estiawansihombing58@gmail.com,85702728652,Male,26,1998,"Jalan H.J Maemunah No. 80, Bekasi, 03073",Warung Tekko Artha Gading,Restaurant,OnePlus 9,Android,539,8.4,2796,89,2415,16,other,Gen Z,OnePlus,Sore,gmail.com,Indosat IM3,Tidak
Puti Ade Gunarto,putiadegunarto59@gmail.com,83327030491,Male,22,2002,"Jalan Lembong No. 0, Jakarta Selatan, 26228",Warung Tekko Daan Mogot,Restaurant,Xiaomi Mi 11,Android,428,7.0,2306,75,1144,0,e-commerce,Gen Z,Xiaomi,Dini Hari,gmail.com,AXIS,Tidak
Pangestu Putra,pangestuputra60@gmail.com,81119812673,Male,56,1968,"Jalan BKR No. 00, Jakarta Pusat, 96572",Daytrans Grogol,Transportation,iPhone 12,iOS,325,7.1,2269,64,1053,8,e-commerce,Gen X,iPhone,Pagi,gmail.com,Telkomsel,Tidak
drg. Shakila Rahimah,drg.shakilarahimah61@gmail.com,88695278777,Female,28,1996,"Jalan BKR No. 95, Jakarta Barat, 64284",Dua Coffee @ Cipete,Cafe,Xiaomi Mi 11,Android,522,11.9,2798,85,1663,18,other,Millennials,Xiaomi,Sore,gmail.com,Smartfren,Ya
Lamar Tarihoran,lamartarihoran62@yahoo.com,83344778315,Female,57,1967,"Gg. Tubagus Ismail No. 4, Jakarta Pusat, 70820",Jack & Joe Coffee and Eatery Lebak Bulus,Cafe,Xiaomi Mi 11,Android,309,7.5,2292,77,1253,21,e-commerce,Gen X,Xiaomi,Malam,yahoo.com,AXIS,Tidak
"T. Ilyas Hardiansyah, S.E.I",t.ilyashardiansyahs.e.i63@outlook.com,88328416163,Male,55,1969,"Jl. Tebet Barat Dalam No. 0, Jakarta Selatan, 83445",MTM Representative Office,Office,Xiaomi Mi 11,Android,79,1.9,493,14,128,16,sosmed,Gen X,Xiaomi,Sore,outlook.com,Smartfren,Ya
drg. Zamira Purwanti,drg.zamirapurwanti64@gmail.com,83860824829,Female,21,2003,"Gang Jamika No. 52, Depok, 28774",Menara FIF - Kantin 2,Compound Space,Xiaomi Mi 11,Android,545,11.5,2911,87,1717,16,other,Gen Z,Xiaomi,Sore,gmail.com,AXIS,Ya
Kania Rajasa,kaniarajasa65@gmail.com,89738826238,Male,43,1981,"Jalan Raya Ujungberung No. 2, Tangerang, 86892",Gedung Cyber,Office,Samsung Galaxy S21,Android,459,7.0,1982,67,1091,10,e-commerce,Millennials,Samsung,Pagi,gmail.com,Tri,Tidak
Raharja Haryanti,raharjaharyanti66@mail.com,81315207443,Male,56,1968,"Jl. Suniaraja No. 68, Jakarta Barat, 53113",Kataloji Coffee & Eatery,Cafe,iPhone 12,iOS,225,4.0,1420,48,917,19,news,Gen X,iPhone,Malam,mail.com,Telkomsel,Tidak
Laksana Lestari,laksanalestari67@gmail.com,82364374351,Male,55,1969,"Jalan Pacuan Kuda No. 6, Tangerang, 51200",Stasiun Boulevard Selatan,Transportation,iPhone 12,iOS,257,4.5,1705,57,912,12,news,Gen X,iPhone,Siang,gmail.com,Telkomsel,Tidak
Ghaliyati Pangestu,ghaliyatipangestu68@gmail.com,85272424731,Female,28,1996,"Gang Lembong No. 4, Jakarta Barat, 58028",Kopi Takua,Cafe,Xiaomi Mi 11,Android,134,4.0,773,35,449,9,streaming video,Millennials,Xiaomi,Pagi,gmail.com,Telkomsel,Tidak
Mila Sirait,milasirait69@gmail.com,82317616889,Male,31,1993,"Gang Pelajar Pejuang No. 2, Jakarta Selatan, 79527",Jack & Joe Coffee and Eatery Lebak Bulus,Cafe,iPhone 12,iOS,516,10.2,2932,98,1547,8,other,Millennials,iPhone,Pagi,gmail.com,Telkomsel,Tidak
Farhunnisa Oktaviani,farhunnisaoktaviani70@yahoo.com,82111068909,Female,29,1995,"Jalan Erlangga No. 8, Jakarta Utara, 99487",Bleu Coffee and Space,Cafe,Google Pixel 5,Android,82,1.7,558,16,284,6,sosmed,Millennials,Google,Pagi,yahoo.com,Telkomsel,Tidak
Gantar Mansur,gantarmansur71@gmail.com,88903922273,Female,45,1979,"Gg. BKR No. 7, Tangerang Selatan, 15706",Menara Satu,Office,Samsung Galaxy S21,Android,452,7.2,1808,64,1090,4,e-commerce,Gen X,Samsung,Dini Hari,gmail.com,Smartfren,Tidak
Pangestu Uwais,pangestuuwais72@yahoo.com,81375604322,Male,37,1987,"Jalan Kiaracondong No. 186, Jakarta Pusat, 12932",Dua Coffee @ Cipete,Cafe,iPhone 12,iOS,521,9.0,2902,97,1701,21,other,Millennials,iPhone,Malam,yahoo.com,Telkomsel,Tidak
Prabawa Lazuardi,prabawalazuardi73@gmail.com,88413383041,Male,22,2002,"Jalan Sentot Alibasa No. 0, Tangerang, 30339",Sambalado,Restaurant,Google Pixel 5,Android,457,6.3,2347,66,1082,4,e-commerce,Gen Z,Google,Dini Hari,gmail.com,Smartfren,Tidak
Halima Namaga,halimanamaga74@yahoo.com,83157039773,Female,50,1974,"Jl. K.H. Wahid Hasyim No. 47, Bogor, 55534",Warung Tekko Kramat Jati,Restaurant,Xiaomi Mi 11,Android,31,1.1,585,11,208,23,sosmed,Gen X,Xiaomi,Malam,yahoo.com,AXIS,Tidak
Ega Ardianto,egaardianto75@yahoo.com,85689996025,Male,39,1985,"Jalan Jend. A. Yani No. 0, Jakarta Selatan, 64552",Tuwuh Treats Bintaro,Cafe,iPhone 12,iOS,47,2.0,476,14,125,21,sosmed,Millennials,iPhone,Malam,yahoo.com,Indosat IM3,Tidak
Maman Utama,mamanutama76@gmail.com,89692557634,Female,23,2001,"Gang H.J Maemunah No. 70, Bekasi, 04891",Menara Satu,Office,Xiaomi Mi 11,Android,229,5.7,1305,43,985,14,news,Gen Z,Xiaomi,Siang,gmail.com,Tri,Tidak
Paris Maulana,parismaulana77@gmail.com,81105077102,Female,54,1970,"Jl. W.R. Supratman No. 5, Tangerang, 25559",JEC Kedoya,Compound Space,Xiaomi Mi 11,Android,34,2.0,558,14,122,7,sosmed,Gen X,Xiaomi,Pagi,gmail.com,Telkomsel,Tidak
Dartono Astuti,dartonoastuti78@gmail.com,88413754111,Female,30,1994,"Gang Pasirkoja No. 29, Jakarta Timur, 48117",Suasana Kopi Gandaria,Cafe,Google Pixel 5,Android,173,2.5,678,29,301,4,streaming video,Millennials,Google,Dini Hari,gmail.com,Smartfren,Tidak
drg. Dirja Wijaya,drg.dirjawijaya79@gmail.com,82346660760,Female,51,1973,"Jl. Gardujati No. 65, Jakarta Pusat, 30284",Los Medellin,Cafe,Samsung Galaxy S21,Android,78,1.8,333,17,138,23,sosmed,Gen X,Samsung,Malam,gmail.com,Telkomsel,Ya
Shakila Nasyiah,shakilanasyiah80@aol.com,81761351159,Female,34,1990,"Jl. Sadang Serang No. 36, Jakarta Timur, 72290",Kopi Takua,Cafe,Google Pixel 5,Android,230,5.7,1254,52,989,3,news,Millennials,Google,Dini Hari,aol.com,XL,Tidak
"Tgk. Ophelia Sudiati, S.Pd",tgk.opheliasudiatis.pd81@gmail.com,82188454336,Female,51,1973,"Jl. Rajawali Timur No. 72, Depok, 24594",Mall Taman Palem,Compound Space,OnePlus 9,Android,565,10.6,2475,99,1603,19,other,Gen X,OnePlus,Malam,gmail.com,Telkomsel,Ya
Puti Safina Lailasari,putisafinalailasari82@yahoo.com,85678315072,Male,41,1983,"Jalan Cikutra Barat No. 461, Jakarta Utara, 82093",Menara Satu,Office,iPhone 12,iOS,172,2.8,1035,22,549,17,streaming video,Millennials,iPhone,Sore,yahoo.com,Indosat IM3,Tidak
Kamila Mahendra,kamilamahendra83@outlook.com,88814038924,Female,21,2003,"Gang Siliwangi No. 933, Bekasi, 87463",Warung Tekko Kalibata,Restaurant,Xiaomi Mi 11,Android,330,7.2,2363,77,1133,14,e-commerce,Gen Z,Xiaomi,Siang,outlook.com,Smartfren,Tidak
Sakura Prakasa,sakuraprakasa84@outlook.com,88673315238,Male,19,2005,"Gg. M.T Haryono No. 357, Tangerang, 18020",Think Coffee Club,Cafe,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,sosmed,Gen Z,Xiaomi,Malam,outlook.com,Smartfren,Tidak
Diah Thamrin,diahthamrin85@gmail.com,88798000236,Female,33,1991,"Gang Antapani Lama No. 120, Jakarta Selatan, 11111",Warung Tekko Kramat Jati,Restaurant,Google Pixel 5,Android,223,4.5,1311,56,695,13,news,Millennials,Google,Siang,gmail.com,Smartfren,Tidak
"dr. Sari Purwanti, S.E.I",dr.saripurwantis.e.i86@gmail.com,88370576728,Male,44,1980,"Gang Soekarno Hatta No. 769, Bogor, 62738",Menara FIF - Kantin 2,Compound Space,Google Pixel 5,Android,404,7.4,2081,63,1352,21,e-commerce,Gen X,Google,Malam,gmail.com,Smartfren,Ya
"Panca Zulaika, M.Pd",pancazulaikam.pd87@aol.com,81794422684,Male,39,1985,"Jalan Setiabudhi No. 449, Depok, 33088",Kedai Sinau,Cafe,Samsung Galaxy S21,Android,151,2.4,1003,25,392,17,streaming video,Millennials,Samsung,Sore,aol.com,XL,Ya
"R. Pangeran Santoso, S.Gz",r.pangeransantosos.gz88@gmail.com,85839287979,Male,44,1980,"Gg. Gardujati No. 86, Jakarta Pusat, 10271",Daytrans Grogol,Transportation,Samsung Galaxy S21,Android,34,1.5,345,11,276,16,sosmed,Gen X,Samsung,Sore,gmail.com,Indosat IM3,Ya
Sutan Hairyanto Wijaya,sutanhairyantowijaya89@gmail.com,88586532025,Female,34,1990,"Jl. Jend. A. Yani No. 6, Jakarta Selatan, 94133",Dua Coffee @ Tebet,Cafe,Xiaomi Mi 11,Android,137,3.3,839,31,348,0,streaming video,Millennials,Xiaomi,Dini Hari,gmail.com,Smartfren,Tidak
