User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Location Type,Location,Nama,Email,Handphone,Login Hour,Year Birth,Digital Interest,Address
39,OnePlus 9,Android,473,6.4,2312,74,1400,40,Male,4,Compound Space,Mall Taman Palem,"Paramita Mansur, S.Pd",paramitamansurs.pd39@gmail.com,081366262323,20,1984,e-commerce,"Gang Wonoayu No. 449, Jakarta Pusat, 37780"
40,Samsung Galaxy S21,Android,398,6.2,1851,77,1180,23,Male,4,Cafe,Stay Kopi Kopia,"R. Lili Saefullah, S.IP",r.lilisaefullahs.ip40@gmail.com,081119132541,0,2001,e-commerce,"Gg. Gedebage Selatan No. 0, Tangerang, 77658"
41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,3,Compound Space,Menara FIF - Kantin 2,Cinthia Pratama,cinthiapratama41@gmail.com,081984422588,17,1968,news,"Gg. Suniaraja No. 194, Jakarta Timur, 75910"
42,OnePlus 9,Android,576,10.1,2447,83,2323,33,Male,5,Transportation,Koridor 01 Halte Taman Sari,Dalimin Prasetyo,daliminprasetyo42@outlook.com,085355947831,15,1991,other,"Jl. Tubagus Ismail No. 699, Bogor, 01533"
43,Samsung Galaxy S21,Android,120,2.1,720,39,392,43,Male,2,Cafe,Warung Fotkop,Gada Mahendra,gadamahendra43@gmail.com,085816315369,4,1981,streaming video,"Gg. Peta No. 242, Bekasi, 14266"
44,Samsung Galaxy S21,Android,152,3.7,993,32,429,18,Male,2,Education Center,SMK AL Khairiyah 2,dr. Timbul Mandala,dr.timbulmandala44@gmail.com,088391664309,20,2006,streaming video,"Gg. Ahmad Dahlan No. 42, Jakarta Barat, 10914"
45,Xiaomi Mi 11,Android,138,2.4,837,21,572,56,Female,2,Cafe,Pard Coffee,"Bakda Hassanah, M.Kom.",bakdahassanahm.kom.45@yahoo.com,089682103836,11,1968,streaming video,"Jalan PHH. Mustofa No. 7, Depok, 84748"
46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,39,Male,5,Transportation,Stasiun Senayan,Cemani Nainggolan,cemaninainggolan46@outlook.com,083267958593,16,1985,other,"Gg. Peta No. 358, Bekasi, 83959"
47,OnePlus 9,Android,558,8.4,2447,97,1594,22,Female,5,Restaurant,Warung Tekko Pluit Village,"Hj. Ira Waskita, S.IP",hj.irawaskitas.ip47@protonmail.com,083250217601,15,2002,other,"Gg. Ir. H. Djuanda No. 0, Jakarta Timur, 69106"
48,Samsung Galaxy S21,Android,138,3.6,889,25,323,27,Female,2,Transportation,Koridor 13 Halte Pasar Santa,"Tgk. Farhunnisa Utama, M.Ak",tgk.farhunnisautamam.ak48@gmail.com,081718347793,0,1997,streaming video,"Gang Dr. Djunjunan No. 031, Tangerang Selatan, 43124"
49,Google Pixel 5,Android,580,8.2,2623,90,2262,49,Male,5,Cafe,Ali Kopi Roastery Free Wifi,Dinda Wastuti,dindawastuti49@aol.com,082240044428,18,1975,other,"Jl. Dipatiukur No. 1, Depok, 03465"
50,OnePlus 9,Android,589,8.7,2736,82,1997,49,Male,5,Restaurant,Ramen Ya! Kota Kasablanka Lt.UG,"Cinthia Ardianto, S.T.",cinthiaardiantos.t.50@gmail.com,081493925412,17,1975,other,"Gang Ronggowarsito No. 9, Jakarta Pusat, 35205"
51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,54,Female,4,Restaurant,Sliced Terogong,Tomi Wibisono,tomiwibisono51@aol.com,082109049018,16,1970,e-commerce,"Gg. Waringin No. 958, Bogor, 88400"
52,Xiaomi Mi 11,Android,245,5.9,1243,52,885,29,Male,3,Cafe,Los Medellin,Unjani Suryono,unjanisuryono52@yahoo.com,081512588539,13,1995,news,"Jl. Bangka Raya No. 185, Jakarta Selatan, 52851"
53,Samsung Galaxy S21,Android,125,2.7,690,28,393,27,Female,2,Cafe,Warung Fotkop,Zalindra Hariyah,zalindrahariyah53@gmail.com,088682039493,19,1997,streaming video,"Gg. W.R. Supratman No. 202, Jakarta Timur, 76688"
54,Xiaomi Mi 11,Android,97,2.2,1101,38,375,53,Male,2,Office,Menara Satu,"R. Bagas Permata, M.Kom.",r.bagaspermatam.kom.54@aol.com,085145899998,20,1971,streaming video,"Gang Pasirkoja No. 352, Jakarta Selatan, 41056"
55,Google Pixel 5,Android,516,8.7,2857,83,2189,53,Female,5,Restaurant,Warung Tekko Artha Gading,Yoga Anggriawan,yogaanggriawan55@aol.com,085186994501,21,1971,other,"Jl. Rungkut Industri No. 4, Depok, 62224"
56,iPhone 12,iOS,68,1.6,450,14,111,30,Male,1,Cafe,Dua Coffee @ Cipete,"Uchita Nuraini, S.Pt",uchitanurainis.pt56@mail.com,089824474505,2,1994,sosmed,"Jalan Pacuan Kuda No. 88, Tangerang Selatan, 44661"
57,OnePlus 9,Android,64,1.1,572,10,161,42,Female,1,Cafe,Dua Coffee @ Cipete,"Dr. Luthfi Siregar, S.Ked",dr.luthfisiregars.ked57@gmail.com,081553217620,17,1982,sosmed,"Gg. Moch. Ramdan No. 17, Jakarta Selatan, 38027"
58,OnePlus 9,Android,539,8.4,2796,89,2415,26,Male,5,Restaurant,Warung Tekko Artha Gading,Estiawan Sihombing,estiawansihombing58@gmail.com,085702728652,16,1998,other,"Jalan H.J Maemunah No. 80, Bekasi, 03073"
59,Xiaomi Mi 11,Android,428,7.0,2306,75,1144,22,Male,4,Restaurant,Warung Tekko Daan Mogot,Puti Ade Gunarto,putiadegunarto59@gmail.com,083327030491,0,2002,e-commerce,"Jalan Lembong No. 0, Jakarta Selatan, 26228"
60,iPhone 12,iOS,325,7.1,2269,64,1053,56,Male,4,Transportation,Daytrans Grogol,Pangestu Putra,pangestuputra60@gmail.com,081119812673,8,1968,e-commerce,"Jalan BKR No. 00, Jakarta Pusat, 96572"
61,Xiaomi Mi 11,Android,522,11.9,2798,85,1663,28,Female,5,Cafe,Dua Coffee @ Cipete,drg. Shakila Rahimah,drg.shakilarahimah61@gmail.com,088695278777,18,1996,other,"Jalan BKR No. 95, Jakarta Barat, 64284"
62,Xiaomi Mi 11,Android,309,7.5,2292,77,1253,57,Female,4,Cafe,Jack & Joe Coffee and Eatery Lebak Bulus,Lamar Tarihoran,lamartarihoran62@yahoo.com,083344778315,21,1967,e-commerce,"Gg. Tubagus Ismail No. 4, Jakarta Pusat, 70820"
63,Xiaomi Mi 11,Android,79,1.9,493,14,128,55,Male,1,Office,MTM Representative Office,"T. Ilyas Hardiansyah, S.E.I",t.ilyashardiansyahs.e.i63@outlook.com,088328416163,16,1969,sosmed,"Jl. Tebet Barat Dalam No. 0, Jakarta Selatan, 83445"
64,Xiaomi Mi 11,Android,545,11.5,2911,87,1717,21,Female,5,Compound Space,Menara FIF - Kantin 2,drg. Zamira Purwanti,drg.zamirapurwanti64@gmail.com,083860824829,16,2003,other,"Gang Jamika No. 52, Depok, 28774"
65,Samsung Galaxy S21,Android,459,7.0,1982,67,1091,43,Male,4,Office,Gedung Cyber,Kania Rajasa,kaniarajasa65@gmail.com,089738826238,10,1981,e-commerce,"Jalan Raya Ujungberung No. 2, Tangerang, 86892"
66,iPhone 12,iOS,225,4.0,1420,48,917,56,Male,3,Cafe,Kataloji Coffee & Eatery,Raharja Haryanti,raharjaharyanti66@mail.com,081315207443,19,1968,news,"Jl. Suniaraja No. 68, Jakarta Barat, 53113"
67,iPhone 12,iOS,257,4.5,1705,57,912,55,Male,3,Transportation,Stasiun Boulevard Selatan,Laksana Lestari,laksanalestari67@gmail.com,082364374351,12,1969,news,"Jalan Pacuan Kuda No. 6, Tangerang, 51200"
68,Xiaomi Mi 11,Android,134,4.0,773,35,449,28,Female,2,Cafe,Kopi Takua,Ghaliyati Pangestu,ghaliyatipangestu68@gmail.com,085272424731,9,1996,streaming video,"Gang Lembong No. 4, Jakarta Barat, 58028"
69,iPhone 12,iOS,516,10.2,2932,98,1547,31,Male,5,Cafe,Jack & Joe Coffee and Eatery Lebak Bulus,Mila Sirait,milasirait69@gmail.com,082317616889,8,1993,other,"Gang Pelajar Pejuang No. 2, Jakarta Selatan, 79527"
70,Google Pixel 5,Android,82,1.7,558,16,284,29,Female,1,Cafe,Bleu Coffee and Space,Farhunnisa Oktaviani,farhunnisaoktaviani70@yahoo.com,082111068909,6,1995,sosmed,"Jalan Erlangga No. 8, Jakarta Utara, 99487"
71,Samsung Galaxy S21,Android,452,7.2,1808,64,1090,45,Female,4,Office,Menara Satu,Gantar Mansur,gantarmansur71@gmail.com,088903922273,4,1979,e-commerce,"Gg. BKR No. 7, Tangerang Selatan, 15706"
72,iPhone 12,iOS,521,9.0,2902,97,1701,37,Male,5,Cafe,Dua Coffee @ Cipete,Pangestu Uwais,pangestuuwais72@yahoo.com,081375604322,21,1987,other,"Jalan Kiaracondong No. 186, Jakarta Pusat, 12932"
73,Google Pixel 5,Android,457,6.3,2347,66,1082,22,Male,4,Restaurant,Sambalado,Prabawa Lazuardi,prabawalazuardi73@gmail.com,088413383041,4,2002,e-commerce,"Jalan Sentot Alibasa No. 0, Tangerang, 30339"
74,Xiaomi Mi 11,Android,31,1.1,585,11,208,50,Female,1,Restaurant,Warung Tekko Kramat Jati,Halima Namaga,halimanamaga74@yahoo.com,083157039773,23,1974,sosmed,"Jl. K.H. Wahid Hasyim No. 47, Bogor, 55534"
75,iPhone 12,iOS,47,2.0,476,14,125,39,Male,1,Cafe,Tuwuh Treats Bintaro,Ega Ardianto,egaardianto75@yahoo.com,085689996025,21,1985,sosmed,"Jalan Jend. A. Yani No. 0, Jakarta Selatan, 64552"
76,Xiaomi Mi 11,Android,229,5.7,1305,43,985,23,Female,3,Office,Menara Satu,Maman Utama,mamanutama76@gmail.com,089692557634,14,2001,news,"Gang H.J Maemunah No. 70, Bekasi, 04891"
77,Xiaomi Mi 11,Android,34,2.0,558,14,122,54,Female,1,Compound Space,JEC Kedoya,Paris Maulana,parismaulana77@gmail.com,081105077102,7,1970,sosmed,"Jl. W.R. Supratman No. 5, Tangerang, 25559"
78,Google Pixel 5,Android,173,2.5,678,29,301,30,Female,2,Cafe,Suasana Kopi Gandaria,Dartono Astuti,dartonoastuti78@gmail.com,088413754111,4,1994,streaming video,"Gang Pasirkoja No. 29, Jakarta Timur, 48117"
79,Samsung Galaxy S21,Android,78,1.8,333,17,138,51,Female,1,Cafe,Los Medellin,drg. Dirja Wijaya,drg.dirjawijaya79@gmail.com,082346660760,23,1973,sosmed,"Jl. Gardujati No. 65, Jakarta Pusat, 30284"
80,Google Pixel 5,Android,230,5.7,1254,52,989,34,Female,3,Cafe,Kopi Takua,Shakila Nasyiah,shakilanasyiah80@aol.com,081761351159,3,1990,news,"Jl. Sadang Serang No. 36, Jakarta Timur, 72290"
81,OnePlus 9,Android,565,10.6,2475,99,1603,51,Female,5,Compound Space,Mall Taman Palem,"Tgk. Ophelia Sudiati, S.Pd",tgk.opheliasudiatis.pd81@gmail.com,082188454336,19,1973,other,"Jl. Rajawali Timur No. 72, Depok, 24594"
82,iPhone 12,iOS,172,2.8,1035,22,549,41,Male,2,Office,Menara Satu,Puti Safina Lailasari,putisafinalailasari82@yahoo.com,085678315072,17,1983,streaming video,"Jalan Cikutra Barat No. 461, Jakarta Utara, 82093"
83,Xiaomi Mi 11,Android,330,7.2,2363,77,1133,21,Female,4,Restaurant,Warung Tekko Kalibata,Kamila Mahendra,kamilamahendra83@outlook.com,088814038924,14,2003,e-commerce,"Gang Siliwangi No. 933, Bekasi, 87463"
84,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,Male,1,Cafe,Think Coffee Club,Sakura Prakasa,sakuraprakasa84@outlook.com,088673315238,19,2005,sosmed,"Gg. M.T Haryono No. 357, Tangerang, 18020"
85,Google Pixel 5,Android,223,4.5,1311,56,695,33,Female,3,Restaurant,Warung Tekko Kramat Jati,Diah Thamrin,diahthamrin85@gmail.com,088798000236,13,1991,news,"Gang Antapani Lama No. 120, Jakarta Selatan, 11111"
86,Google Pixel 5,Android,404,7.4,2081,63,1352,44,Male,4,Compound Space,Menara FIF - Kantin 2,"dr. Sari Purwanti, S.E.I",dr.saripurwantis.e.i86@gmail.com,088370576728,21,1980,e-commerce,"Gang Soekarno Hatta No. 769, Bogor, 62738"
87,Samsung Galaxy S21,Android,151,2.4,1003,25,392,39,Male,2,Cafe,Kedai Sinau,"Panca Zulaika, M.Pd",pancazulaikam.pd87@aol.com,081794422684,17,1985,streaming video,"Jalan Setiabudhi No. 449, Depok, 33088"
88,Samsung Galaxy S21,Android,34,1.5,345,11,276,44,Male,1,Transportation,Daytrans Grogol,"R. Pangeran Santoso, S.Gz",r.pangeransantosos.gz88@gmail.com,085839287979,16,1980,sosmed,"Gg. Gardujati No. 86, Jakarta Pusat, 10271"
89,Xiaomi Mi 11,Android,137,3.3,839,31,348,34,Female,2,Cafe,Dua Coffee @ Tebet,Sutan Hairyanto Wijaya,sutanhairyantowijaya89@gmail.com,088586532025,0,1990,streaming video,"Jl. Jend. A. Yani No. 6, Jakarta Selatan, 94133"
90,Samsung Galaxy S21,Android,301,6.2,2053,75,1303,45,Male,4,Cafe,Liberica Cilandak Town Square,Kenes Mayasari,kenesmayasari90@gmail.com,081728077842,8,1979,e-commerce,"Gang Wonoayu No. 94, Tangerang Selatan, 28785"
91,Google Pixel 5,Android,116,2.1,912,39,307,40,Female,2,Restaurant,Kintaro Sushi PIK,"Ina Halimah, S.E.",inahalimahs.e.91@gmail.com,081136012391,1,1984,streaming video,"Jl. HOS. Cokroaminoto No. 129, Jakarta Selatan, 82896"
92,Google Pixel 5,Android,291,4.1,1474,46,827,32,Female,3,Restaurant,Warung Tekko Daan Mogot,Cagak Saefullah,cagaksaefullah92@gmail.com,089717380336,13,1992,news,"Gg. Sukajadi No. 590, Tangerang Selatan, 93845"
93,iPhone 12,iOS,84,1.4,501,16,284,56,Female,1,Restaurant,Ramen Ya! Kota Kasablanka Lt.UG,Kasim Winarsih,kasimwinarsih93@gmail.com,081621728814,1,1968,sosmed,"Gg. Sentot Alibasa No. 7, Tangerang, 55334"
94,iPhone 12,iOS,134,2.5,1125,24,367,35,Male,2,Cafe,Kedai Sinau,Teguh Narpati,teguhnarpati94@aol.com,082348964384,3,1989,streaming video,"Jl. Ronggowarsito No. 9, Jakarta Barat, 74472"
95,Samsung Galaxy S21,Android,411,7.5,2169,72,1083,58,Male,4,Cafe,Kopitok Coffee Kemang,Ika Prasasta,ikaprasasta95@yahoo.com,081679031926,22,1966,e-commerce,"Jalan M.T Haryono No. 40, Jakarta Barat, 06298"
96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,4,Cafe,Dekhad Gandaria,"Ir. Galiono Hutasoit, S.E.I",ir.galionohutasoits.e.i96@protonmail.com,083259044930,22,1974,e-commerce,"Jl. Sukajadi No. 9, Jakarta Barat, 85320"
97,iPhone 12,iOS,550,9.5,2916,91,1946,20,Male,5,Restaurant,Warung Tekko Kramat Jati,Hana Kuswoyo,hanakuswoyo97@outlook.com,088192205983,1,2004,other,"Jalan Rungkut Industri No. 48, Jakarta Selatan, 98709"
98,OnePlus 9,Android,516,12.0,2406,82,1968,28,Female,5,Cafe,Dua Coffee @ Cipete,Gadang Hutagalung,gadanghutagalung98@outlook.com,088921576845,11,1996,other,"Gang Pacuan Kuda No. 51, Jakarta Utara, 12349"
99,Google Pixel 5,Android,59,1.2,361,18,293,25,Female,1,Cafe,Kopikalyan Wijaya,Azalea Mayasari,azaleamayasari99@gmail.com,088458423161,12,1999,sosmed,"Gg. Cihampelas No. 36, Jakarta Selatan, 40239"
100,OnePlus 9,Android,225,5.5,1526,44,875,50,Female,3,Restaurant,Sambalado,Jaswadi Halimah,jaswadihalimah100@yahoo.com,088497174571,14,1974,news,"Gg. K.H. Wahid Hasyim No. 6, Jakarta Selatan, 39641"
101,Google Pixel 5,Android,41,1.1,389,15,136,53,Male,1,Education Center,SMK AL Khairiyah 2,Tania Melani,taniamelani101@aol.com,088656372166,13,1971,sosmed,"Gg. Rajiman No. 381, Tangerang, 63847"
102,OnePlus 9,Android,183,4.1,1210,45,738,19,Male,3,Restaurant,Kintaro Sushi PIK,"Salsabila Kuswoyo, S.E.I",salsabilakuswoyos.e.i102@gmail.com,085682880932,4,2005,news,"Gang Kutai No. 5, Jakarta Selatan, 72326"
103,Google Pixel 5,Android,174,2.5,929,37,565,32,Female,2,Restaurant,Ramen Ya! Gandaria City,"Tgk. Olivia Pudjiastuti, S.Farm",tgk.oliviapudjiastutis.farm103@aol.com,089854864179,19,1992,streaming video,"Gang Soekarno Hatta No. 6, Jakarta Timur, 19803"
104,Xiaomi Mi 11,Android,274,4.2,1781,52,934,28,Male,3,Office,Gedung Cyber,Jaga Handayani,jagahandayani104@yahoo.com,082203098849,21,1996,news,"Gg. Tebet Barat Dalam No. 80, Bekasi, 17967"
105,Xiaomi Mi 11,Android,166,2.8,1113,28,360,25,Male,2,Office,Gedung Cyber,"Uda Maryati, M.Kom.",udamaryatim.kom.105@gmail.com,083175503983,1,1999,streaming video,"Jl. Ciumbuleuit No. 862, Bogor, 35651"
106,Xiaomi Mi 11,Android,66,1.2,585,12,264,36,Male,1,Restaurant,Sambal Setan,"R. Elma Nainggolan, S.Kom",r.elmanainggolans.kom106@gmail.com,088530399011,4,1988,sosmed,"Jl. Tubagus Ismail No. 6, Depok, 05853"
107,Google Pixel 5,Android,152,2.7,642,38,596,55,Male,2,Office,Harton Tower,Devi Nainggolan,devinainggolan107@gmail.com,088796600095,3,1969,streaming video,"Jalan Pacuan Kuda No. 47, Jakarta Timur, 96201"
108,Google Pixel 5,Android,54,1.4,403,17,278,23,Female,1,Compound Space,JEC Kedoya,Lalita Hastuti,lalitahastuti108@gmail.com,081154391056,6,2001,sosmed,"Gang Rawamangun No. 072, Jakarta Utara, 46503"
